,Drug-Gene,Drug-Gene Cluster,Dependency Path,Dependency path Cluster
692,(creatine/igf-i),22.0,"[appos, antibody, partmod, targeting, dobj]",14.0
693,(sunitinib/pdgfr),12.0,"[amod, nitrendipine, amod]",0.0
694,(cyclophosphamide/ifn-gamma),5.0,"[prep_with, activity, nn]",84.0
695,(vasopressin/kallikrein),29.0,"[nsubj, inhibited, dobj, expression, prep_of]",95.0
696,(trimethoprim/nadph),6.0,"[prep_with, inhibitor, amod]",85.0
697,(creatine/glut4),24.0,"[prep_of, effect, amod]",86.0
698,(bortezomib/cip2a),0.0,"[prep_of, effect, dobj, examined, prep_on, expression, prep_of]",0.0
699,(duloxetine/cyp2d6),17.0,"[nsubj, upregulates, dobj, expression, amod]",29.0
700,(propranolol/egr1),29.0,"[nsubj, stimulated, dobj]",29.0
701,(fk506/rotamase),25.0,"[nsubj, specific, prep_for]",29.0
702,(chlorpromazine/calmodulin),0.0,"[nsubj, agonist, num]",114.0
703,(hydralazine/ssao),28.0,"[amod, increases, nsubj]",29.0
704,(atra/gnt-v),9.0,"[appos, substrate, prep_for]",29.0
705,(phenytoin/cyp2c19),17.0,"[nsubj, induced, dobj, activation, prep_of]",24.0
706,(amd3100/cxcl12),0.0,"[nsubj, inhibited, dobj, activity, prep_of]",113.0
707,(capsaicin/trpa1),16.0,"[prep_of, effects, dobj, investigated, prep_on]",72.0
708,(forskolin/gnrh),9.0,"[nsubj, binds, dobj]",62.0
709,(indomethacin/akr1c3),6.0,"[prep_with, combined, partmod]",0.0
710,(prednisolone/p-gp),15.0,"[appos, inhibition, nn]",35.0
711,(omeprazole/cyp2c19),15.0,"[nsubj, blocked, xcomp]",0.0
712,(dexamethasone/eotaxin),17.0,"[prep_with, synergizes, nsubj]",90.0
713,(cyclosporin/cyp-d),6.0,"[nsubj, inhibited, dobj, production, prep_of]",0.0
714,(berberine/mmp-9),0.0,"[dep, receptor, appos]",95.0
715,(betaine/igf-i),5.0,"[appos, therapy, nn]",3.0
716,(capsaicin/calcitonin),9.0,"[nn, production, nn]",0.0
717,(celecoxib/cox-1),28.0,"[dobj, transported, nsubj]",113.0
718,(celecoxib/cox-2),17.0,"[amod, selective, amod]",107.0
719,(naltrexone/beta-endorphin),0.0,"[prep_with, inhibition, amod]",22.0
720,(temozolomide/top2a),12.0,"[appos, receptor, nn]",26.0
721,(aminoglutethimide/p450scc),12.0,"[nn, production, amod]",0.0
722,(abacavir/p-gp),15.0,"[amod, regulation, prep_of]",0.0
723,(triacetyloleandomycin/cyp3a),12.0,"[appos, activator, amod]",0.0
724,(haloperidol/cyp3a4),15.0,"[appos, agonist, amod]",0.0
725,(rosiglitazone/vldlr),27.0,"[prep_to, sensitive, nsubj, cells, nn]",88.0
726,(isoprenaline/mmp-9),21.0,"[appos, antagonist, dep]",72.0
727,(bisphosphonates/rankl),0.0,"[amod, release, amod]",72.0
728,(clozapine/5-ht1c),0.0,"[amod, synthase, amod]",98.0
729,(forskolin/cftr),7.0,"[prep_such_as, receptor, appos]",107.0
730,(rapamycin/ogg1),17.0,"[nsubj, has, dobj, effects, prep_on]",7.0
731,(clozapine/5-ht1a),16.0,"[prep_such_as, inhibitors, num]",40.0
732,(glyburide/abca1),6.0,"[prep_in, patients, prep_with]",43.0
733,(fluvoxamine/cyp2d6),22.0,"[appos, receptor, amod]",121.0
734,(simvastatin/statin),0.0,"[amod, synthase, dep]",121.0
735,(carboplatin/vegf),5.0,"[nsubj, inhibits, dobj, production, nn]",28.0
736,(indomethacin/beta-catenin),22.0,"[amod, treatment, appos]",121.0
737,(triflusal/nf-kappab),23.0,"[amod, activation, amod]",32.0
738,(estradiol/spinophilin),27.0,"[nsubj, selective, prep_for]",6.0
739,(metformin/mtor),28.0,"[nn, receptors, amod]",33.0
740,(lovastatin/e-selectin),21.0,"[nsubj, inhibited, prep_with]",34.0
741,(naringenin/pon1),25.0,"[amod, gene, prep_to, linked, partmod, promoter, nn]",11.0
742,(rolipram/cd11b),5.0,"[nsubj, increased, dobj, activity, nn]",5.0
743,(rosiglitazone/cyp3a4),15.0,"[prep_of, concentration, nsubj]",0.0
744,(sevoflurane/p-selectin),3.0,"[nsubj, decreased, dobj, expression, amod]",94.0
745,(celecoxib/nfkappab),28.0,"[nsubj, affect, dobj, levels, amod]",5.0
746,(rosiglitazone/ppar-gamma),7.0,"[nsubj, downregulated, dobj, expression, amod]",0.0
747,(gm-csf/rankl),8.0,"[agent, inactivated, nsubjpass]",37.0
748,(colchicine/mefv),13.0,"[agent, inhibited, nsubjpass, expression, amod]",46.0
749,(bleomycin/ifn-beta),2.0,"[agent, increased, nsubjpass, expression, nn]",50.0
750,(pge2/inositol),24.0,"[nn, protein, appos]",0.0
751,(idarubicin/aida),29.0,"[dep, globulin, appos]",66.0
752,(quinacrine/pla2),1.0,"[prep_with, treatment, prep_after]",107.0
753,(arsenite/ikappabalpha),1.0,"[nsubj, suppresses, dobj, expression, prep_of]",22.0
754,(doxorubicin/mtor),17.0,"[xsubj, activity, nn]",22.0
755,(prednisone/cholinesterase),20.0,"[amod, receptor, nn]",107.0
756,(topotecan/ube3a),29.0,"[agent, induced, partmod, activation, amod]",16.0
757,(prostacyclin/cyp8a1),20.0,"[prep_in, presence, prep_of]",5.0
758,(pge2/socs3),13.0,"[agent, induced, partmod, activity, amod]",74.0
759,(fibrates/statin),2.0,"[prep_of, action, prep_in]",5.0
760,(fluoroquinolones/copd),2.0,"[amod, gamma, appos]",92.0
761,(estrone/udp-glucuronosyltransferase),14.0,"[prep_of, effect, dobj, studied, prep_on]",73.0
762,(corticotropin/pro-opiomelanocortin),16.0,"[nn, a, amod]",92.0
763,(l-leucine/lat1),14.0,"[appos, amphetamine, appos]",49.0
764,(celecoxib/nag-1),3.0,"[agent, activation, partmod]",50.0
765,(candesartan/pai-1),29.0,"[amod, inhibitors, nn]",5.0
766,(genistein/phospholipase),23.0,"[prep_by, mrna, nn]",0.0
767,(hyaluronan/habp),6.0,"[appos, ligand, nn]",34.0
768,(risedronate/fpps),1.0,"[amod, secretion, nn]",0.0
769,(etoposide/cyr61),8.0,"[amod, protein, dep]",0.0
770,(rapamycin/pc-3),7.0,"[nsubj, inhibited, dobj, activation, amod]",0.0
771,(troglitazone/vegf),25.0,"[amod, cells, appos]",89.0
772,(panitumumab/kras),2.0,"[prep_with, used, nsubjpass]",86.0
773,(hydroxyurea/il-13),18.0,"[nsubj, suppressed, dobj, production, nn]",17.0
774,(gm-csf/stat1),1.0,"[prep_with, combination, prep_in]",88.0
775,(gm-csf/stat3),7.0,"[prep_by, blockade, amod]",34.0
776,(lmwh/tfpi),24.0,"[appos, agonists, num]",108.0
777,(cisplatin/habp1),4.0,"[prep_by, inhibition, xsubj]",52.0
778,(curcumin/nrf2),20.0,"[prep_with, support, amod]",68.0
779,(diazepam/egr-1),4.0,"[prep_with, treated, partmod, patients, nn]",74.0
780,(docetaxel/bcl-2),0.0,"[appos, inhibitor, prep_of, activity, amod]",47.0
781,(glucosamine/lectin),28.0,"[prep_by, activation, amod]",43.0
782,(gemcitabine/mir-21),11.0,"[prep_of, effect, dobj, study, prep_on, expression, prep_of]",106.0
783,(cyclosporin/cyp3a),15.0,"[xsubj, inhibitor, nn]",94.0
784,(phosphatidylserine/marcks),10.0,"[nn, gene, nn]",100.0
785,(pge2/inos),0.0,"[agent, inhibited, nsubjpass, activity, nn]",95.0
786,(vildagliptin/dpp4),28.0,"[dep, receptor, amod]",0.0
787,(thymalfasin/tace),24.0,"[prep_of, effects, dobj, investigated, prep_on, expression, amod]",74.0
788,(gm-csf/lymphokine),4.0,"[agent, activated, partmod]",74.0
789,(alfentanil/cyp3a5),17.0,"[dep, inhibition, prep_of]",74.0
790,(alfentanil/cyp3a4),15.0,"[nsubj, antibody, appos]",0.0
791,(sulfaphenazole/cyp2c9),12.0,"[dep, antagonists, num]",18.0
792,(pravastatin/lox-1),8.0,"[nn, activity, appos]",0.0
793,(troglitazone/adiponectin),22.0,"[dep, beta, nn]",103.0
794,(il-11/stat3),7.0,"[amod, levels, appos]",3.0
795,(genistein/fgf-2),5.0,"[prep_in, patients, amod]",53.0
796,(clozapine/tspo),16.0,"[prep_with, treated, partmod]",117.0
797,(sulfonamides/dhps),1.0,"[prep_by, levels, amod]",58.0
798,(estradiol/igf-ii),18.0,"[nsubj, antagonist, nn]",12.0
799,(carnitine/acyltransferase),0.0,"[dep, hormone, dep]",0.0
800,(naloxone/beta-endorphin),0.0,"[xsubj, overexpression, prep_of]",57.0
801,(oxytocin/rgs2),9.0,"[prep_of, effect, dobj, investigate, prep_on, expression, nn]",35.0
802,(gm-csf/stat5),10.0,"[agent, induced, partmod]",29.0
803,(estradiol/apoe),29.0,"[appos, ligands, prep_for]",32.0
804,(lapatinib/erbb),28.0,"[nsubj, blocked, dobj, activation, amod]",31.0
805,(rapamycin/reticulum),21.0,"[nsubj, decreased, dobj, activity, nn]",83.0
806,(dexamethasone/aqp1),2.0,"[nsubj, attenuated, dobj, expression, nn]",0.0
807,(mivacurium/butyrylcholinesterase),9.0,"[nsubj, induced, dobj, expression, nn]",0.0
808,(pazopanib/b-raf),1.0,"[amod, pathway, nn]",0.0
809,(atra/cx43),22.0,"[amod, agonists, amod]",112.0
810,(irap/il-1),0.0,"[nsubj, had, dobj, effect, prep_on, activity, nn]",72.0
811,(furosemide/nkcc1),12.0,"[nsubjpass, produced, agent]",0.0
812,(fibrates/sr-bi),22.0,"[nsubj, prevented, prep_in]",10.0
813,(5-asa/sasp),12.0,"[prep_on, activity, nn]",45.0
814,(trastuzumab/her2),0.0,"[amod, treatment, nsubj, increased, dobj, levels, amod]",74.0
815,(metyrapone/cyp3a),29.0,"[prep_to, expression, nn]",45.0
816,(sucralfate/bfgf),7.0,"[dobj, increased, nsubj]",40.0
817,(propranolol/ml-1),24.0,"[agent, induced, partmod, mrna, nn]",107.0
818,(carbamazepine/eaat3),3.0,"[amod, inhibitors, amod]",31.0
819,(resveratrol/hif-1alpha),4.0,"[appos, substrate, prep_of]",59.0
820,(gemcitabine/nf-kappab),10.0,"[nsubj, decreased, prep_with]",46.0
821,(tenecteplase/alteplase),2.0,"[agent, induced, nsubjpass]",0.0
822,(hyaluronidase/neuraminidase),2.0,"[nsubj, decreased, dobj, expression, prep_of]",103.0
823,(staurosporine/timp-1),8.0,"[prep_of, effect, prep_in, role, dobj, plays, nsubj]",80.0
824,(plerixafor/cxcr4),1.0,"[nsubjpass, administered, prep_to, mice, amod]",8.0
825,(montelukast/cyp2c8),28.0,"[nn, receptors, appos]",61.0
826,(pge2/rankl),4.0,"[rcmod, inhibitor, prep_of]",56.0
827,(duloxetine/bdnf),3.0,"[dep, substrates, nn]",10.0
828,(quinidine/p-gp),17.0,"[amod, treatment, nsubj, reduced, dobj, expression, prep_of]",80.0
829,(hemin/prpc),29.0,"[nn, treatment, prep_during]",23.0
830,(nadh/tnox),20.0,"[nsubj, blocked, prep_by]",37.0
831,(ampicillin/ml-1),9.0,"[nn, resistance, prep_in, involved, nsubjpass]",103.0
832,(dexamethasone/beta-induced),11.0,"[agent, inhibited, nsubjpass]",35.0
833,(coxibs/cyclooxygenase-2),1.0,"[prep_to, reduced, nsubj]",0.0
834,(gentamicin/phospholipase),13.0,"[nsubj, increased, dobj, levels, nn]",72.0
835,(curcumin/ap-1),0.0,"[prep_of, activity, nn]",83.0
836,(tamoxifen/sr-bi),8.0,"[agent, reduced, nsubjpass]",0.0
837,(estradiol/sulfotransferase),0.0,"[amod, metabolism, prep_in]",72.0
838,(efalizumab/etanercept),27.0,"[prep_such_as, inhibitors, amod]",72.0
839,(berberine/nat1),3.0,"[nsubj, has, dobj, effect, prep_on, activity, amod]",33.0
840,(raloxifene/vegf),25.0,"[nsubjpass, shown, prep_to]",50.0
841,(l-leucine/mtor),1.0,"[nsubj, suppressed, dobj, expression, prep_of]",0.0
842,(triiodothyronine/apob),29.0,"[amod, phosphorylation, appos]",0.0
843,(nevirapine/cyp2b6),17.0,"[dep, antagonists, amod]",0.0
844,(doxorubicin/ampk),25.0,"[prep_with, treated, partmod, mice, amod]",1.0
845,(epirubicin/p-gp),15.0,"[appos, probe, nn]",0.0
846,(suramin/egfr),19.0,"[prep_by, inhibited, nsubj, activity, amod]",99.0
847,(metronidazole/cyp3a),15.0,"[appos, agonists, appos]",54.0
848,(fenofibrate/paraoxonase),25.0,"[amod, inhibitor, amod]",92.0
849,(dexamethasone/mmp-2),0.0,"[nsubj, decrease, dobj, expression, prep_of]",2.0
850,(dexamethasone/mmp-3),4.0,"[agent, blocked, nsubjpass, expression, nn]",96.0
851,(dexamethasone/mmp-9),3.0,"[amod, transferase, appos]",62.0
852,(trimetrexate/dhfr),28.0,"[amod, activation, prep_of]",0.0
853,(urokinase/upar),7.0,"[dep, activator, nn]",72.0
854,(arsenite/hif-1),5.0,"[nsubj, blocked, dobj, activation, prep_of]",35.0
855,(dexamethasone/pla2),23.0,"[dobj, bind, nsubj]",0.0
856,(efalizumab/lfa-1),7.0,"[nsubj, inhibited, dobj, activation, nn]",61.0
857,(vinblastine/p-gp),15.0,"[prep_such_as, substrates, nn]",74.0
858,(rosuvastatin/pcsk9),20.0,"[prep_of, effects, appos, inhibitor, nn]",117.0
859,(thyroglobulin/factor-1),24.0,"[xsubj, inhibitor, prep_of]",33.0
860,(creatine/ctnt),12.0,"[nsubj, increased, dobj, expression, prep_of, mrna, nn]",14.0
861,(nateglinide/pept1),6.0,"[prep_on, production, amod]",62.0
862,(glcnac/mucin),2.0,"[amod, cells, nn]",50.0
863,(amiodarone/ncx1),1.0,"[xsubj, knockdown, prep_of]",89.0
864,(bleomycin/blmh),20.0,"[nsubj, upregulated, dobj]",32.0
865,(propranolol/5-ht1b),23.0,"[prep_to, resistant, nsubj, cells, nn]",71.0
866,(metformin/ampk),10.0,"[prep_to, response, prep_in, expression, amod]",40.0
867,(propranolol/5-ht1a),16.0,"[amod, expression, appos]",24.0
868,(isoproterenol/il-1),13.0,"[nn, factor, appos]",50.0
869,(naloxone/lhrh),21.0,"[nsubj, had, dobj, effect, prep_on, expression, amod]",63.0
870,(aldosterone/osteopontin),22.0,"[dep, inhibitor, amod]",60.0
871,(lamivudine/ifn-alpha),19.0,"[amod, production, prep_by]",103.0
872,(creatine/ctni),12.0,"[prep_with, inhibitors, num]",39.0
873,(methacholine/copd),6.0,"[nsubj, antibody, rcmod, binds, prep_to]",15.0
874,(gm-csf/jak2),25.0,"[appos, inhibitor, prep_of, target, prep_of, rapamycin, appos]",0.0
875,(vasopressin/calmodulin),29.0,"[nsubj, reduced, dobj, secretion, prep_of]",0.0
876,(octreotide/stat3),11.0,"[appos, antibody, prep_against]",5.0
877,(pge2/stat3),3.0,"[prep_with, associated, nsubjpass]",11.0
878,(arsenite/nqo1),11.0,"[amod, dehydrogenase, amod]",46.0
879,(rolipram/il-5),27.0,"[nsubjpass, used, prep_with]",88.0
880,(fenofibrate/adiponectin),27.0,"[prep_after, increased, nsubj]",74.0
881,(gp120/lectin),24.0,"[prep_with, treatment, appos]",61.0
882,(estradiol/hsd17b7),29.0,"[nsubj, affects, dobj, activity, amod]",22.0
883,(clenbuterol/ml-1),9.0,"[nn, promoter, prep_to, binds, nsubj]",91.0
884,(sumatriptan/5-ht1d),16.0,"[nsubj, affect, dobj]",77.0
885,(acitretin/etanercept),2.0,"[amod, phosphorylation, amod]",100.0
886,(bortezomib/mcl-1),1.0,"[prep_in, patients, appos]",59.0
887,(sumatriptan/5-ht1b),16.0,"[nsubj, reduced, dobj, production, nn]",55.0
888,(sumatriptan/5-ht1a),16.0,"[appos, inhibitors, amod]",47.0
889,(gefitinib/rad51),23.0,"[rcmod, targets, dobj]",86.0
890,(atorvastatin/tsp-1),22.0,"[amod, activity, prep_of]",91.0
891,(paclitaxel/stat3),21.0,"[nsubj, decreased, dobj, levels, nn]",117.0
892,(dexamethasone/ikappabalpha),24.0,"[nsubj, stimulated, dobj, release, nn]",119.0
893,(adalimumab/tace),12.0,"[amod, phosphorylation, nn]",95.0
894,(il-2/erk2),1.0,"[nsubj, blocks, dobj]",99.0
895,(cyclophosphamide/cyp3a4),25.0,"[nsubjpass, inactivated, agent]",27.0
896,(noradrenaline/calcitonin),24.0,"[agent, reduced, nsubjpass, expression, nn]",0.0
897,(erlotinib/mtor),1.0,"[xsubj, inhibit, dobj]",53.0
898,(ouabain/adenosinetriphosphatase),21.0,"[nsubj, stimulated, dobj, activity, prep_of]",16.0
899,(clenbuterol/igf-i),27.0,"[prep_by, suppression, nn]",0.0
900,(sevoflurane/ho-1),8.0,"[prep_such_as, substrates, num]",101.0
901,(phylloquinone/osteocalcin),13.0,"[dep, agonists, num]",0.0
902,(sildenafil/pde5a),28.0,"[nsubj, caused, dobj, translocation, prep_of]",0.0
903,(fenofibrate/tlr4),9.0,"[prep_of, effects, nsubjpass, mediated, agent]",58.0
904,(apap/cyp3a4),0.0,"[prep_of, addition, appos, inhibitor, prep_of]",0.0
905,(cefadroxil/pept2),9.0,"[prep_of, toxicities, appos]",16.0
906,(lansoprazole/bfgf),18.0,"[prep_of, levels, appos]",0.0
907,(pge2/cyclooxygenase-2),22.0,"[prep_to, inhibited, nsubj]",74.0
908,(carboplatin/gm-csf),2.0,"[prep_with, complex, prep_in]",85.0
909,(paclitaxel/egfr),12.0,"[appos, lt, appos]",46.0
910,(estradiol/bdnf),8.0,"[amod, production, appos]",47.0
911,(gemfibrozil/cyp2c8),28.0,"[prep_by, inducible, nsubj]",39.0
912,(cisplatin/rad51),7.0,"[nsubj, decreased, dobj, phosphorylation, prep_of]",64.0
913,(simvastatin/sr-bi),20.0,"[appos, beta, nn]",42.0
914,(dexamethasone/ap-1),23.0,"[amod, acetyltransferase, appos]",103.0
915,(simvastatin/vegf),0.0,"[prep_to, resulted, nsubj, expression, prep_of]",88.0
916,(muraglitazar/ppar),16.0,"[prep_by, inhibited, nsubj]",52.0
917,(melatonin/5-ht2a),11.0,"[prep_with, treatment, nsubj, increased, dobj, levels, amod]",61.0
918,(tnf-r2/traf2),18.0,"[prep_such_as, inhibitor, nn]",0.0
919,(bortezomib/nf-kappab),6.0,"[prep_towards, activity, amod]",78.0
920,(danazol/sulfatase),17.0,"[nsubj, induces, dobj, phosphorylation, amod]",39.0
921,(erlotinib/egfr),20.0,"[appos, antagonists, amod]",67.0
922,(isoproterenol/creb),10.0,"[prep_on, hormone, appos]",67.0
923,(d-tubocurarine/nachr),0.0,"[appos, activator, prep_of]",27.0
924,(et743/top1),3.0,"[nsubj, induces, dobj, activity, amod]",102.0
925,(imatinib/egfr),20.0,"[nsubjpass, bound, prep_to]",19.0
926,(dexamethasone/bfgf),18.0,"[nsubj, inhibited, dobj, production, amod]",89.0
927,(rapamycin/her2),23.0,"[nsubj, induced, dobj]",39.0
928,(resveratrol/vegf),18.0,"[nsubj, inhibitor, appos]",102.0
929,(dexamethasone/cd38),29.0,"[prep_by, inhibited, nsubj, activity, nn]",46.0
930,(estradiol/beta-endorphin),18.0,"[nsubj, increase, dobj, activity, amod]",66.0
931,(rolipram/creb),9.0,"[nsubj, had, dobj, effect, prep_on, expression, nn]",62.0
932,(fk506/bdnf),9.0,"[prep_of, target, appos]",61.0
933,(dexamethasone/factor-1),7.0,"[nsubj, upregulated, dobj, expression, amod]",58.0
934,(dexamethasone/sp-a),4.0,"[prep_on, levels, amod]",0.0
935,(dexamethasone/sp-c),5.0,"[dep, parnaparin, dep]",23.0
936,(dexamethasone/sp-b),22.0,"[nsubj, reduced, dobj, activity, nn]",52.0
937,(dexamethasone/sp-d),9.0,"[nn, activation, prep_of]",0.0
938,(nadh/nicotinamide),9.0,"[nsubj, inhibited, dobj, phosphorylation, amod]",7.0
939,(saha/hdac),1.0,"[nsubjpass, hydrolyzed, agent]",100.0
940,(dexamethasone/iapp),24.0,"[amod, dehydrogenase, appos]",113.0
941,(sn-38/ugt1a1),17.0,"[nsubj, augmented, dobj, expression, amod]",3.0
942,(genistein/pai-1),4.0,"[nn, ratio, nn]",3.0
943,(diltiazem/ml-1),9.0,"[prep_with, treated, prep_with]",52.0
944,(perhexiline/cyp2d6),17.0,"[nsubj, increased, dobj, expression, nn]",80.0
945,(bortezomib/caspase-3),13.0,"[amod, ziprasidone, amod, neuroleptics, amod, aripiprazole, dep, inhibitors, amod]",0.0
946,(adomet/mat1a),2.0,"[amod, production, dobj, stimulates, nsubj]",103.0
947,(pentamidine/rgds),2.0,"[partmod, catalyzed, agent]",0.0
948,(propranolol/nadph),8.0,"[prep_by, inhibition, amod]",0.0
949,(aldosterone/ctgf),18.0,"[appos, analog, prep_of]",58.0
950,(lovastatin/p-gp),9.0,"[amod, production, prep_on]",75.0
951,(curcumin/gadd153),22.0,"[nsubj, induced, dobj, phosphorylation, amod]",0.0
952,(resveratrol/adiponectin),22.0,"[prep_of, inhibition, amod]",80.0
953,(ajmaline/herg),24.0,"[prep_with, inhibition, nn]",16.0
954,(curcumin/pla2),22.0,"[amod, production, prep_of]",11.0
955,(imipramine/bdnf),9.0,"[prep_on, secretion, prep_of]",4.0
956,(curcumin/mmp-9),4.0,"[nsubj, affect, dobj, expression, nn]",83.0
957,(curcumin/mmp-2),3.0,"[prep_for, patients, prep_with]",18.0
958,(nelfinavir/cyp3a4),25.0,"[pobj, with, dep, with, pobj]",12.0
959,(gentamicin/caspase-3),3.0,"[nn, receptors, nn]",61.0
960,(curcumin/mmp-3),5.0,"[prep_by, release, nn]",1.0
961,(selegiline/mao-b),28.0,"[appos, beta, appos]",0.0
962,(dicoumarol/hsp90),12.0,"[appos, antibody, nn]",0.0
963,(paclitaxel/her-2),2.0,"[nsubj, inhibited, dobj, release, amod]",0.0
964,(oltipraz/cyp2b6),23.0,"[partmod, followed, agent]",101.0
965,(melatonin/gdnf),18.0,"[agent, blocked, nsubjpass]",72.0
966,(resveratrol/egr-1),4.0,"[nn, a, appos, inhibitor, prep_of]",0.0
967,(vardenafil/abcb1),9.0,"[prep_with, cells, nn]",74.0
968,(aldosterone/inos),3.0,"[appos, protein, appos]",26.0
969,(cyclophosphamide/filgrastim),2.0,"[amod, production, dobj, increased, nsubj]",112.0
970,(selegiline/mao-a),28.0,"[prep_by, mrna, amod]",0.0
971,(carbachol/gastrin),4.0,"[appos, alpha, nn]",74.0
972,(metformin/resistin),28.0,"[nsubj, antibody, prep_against]",112.0
973,(propofol/hif-1),21.0,"[amod, binding, prep_to]",7.0
974,(picrotoxin/glyrs),6.0,"[appos, agonist, prep_of]",59.0
975,(nimesulide/aromatase),23.0,"[appos, analog, nn]",0.0
976,(il-2/p21ras),22.0,"[prep_of, doses, appos]",27.0
977,(digoxin/hif-1alpha),4.0,"[infmod, cells, nn]",0.0
978,(chloroquine/phospholipase),23.0,"[prep_by, induction, amod]",75.0
979,(raltegravir/ugt1a1),17.0,"[prep_in, combination, prep_with]",0.0
980,(atra/il-10),17.0,"[nsubj, had, dobj, effect, prep_on]",113.0
981,(miconazole/aromatase),12.0,"[prep_in, cells, amod]",70.0
982,(benzbromarone/urat1),15.0,"[nsubj, binds, prep_to]",35.0
983,(albuterol/copd),6.0,"[prep_on, release, prep_of]",0.0
984,(fk506/fkbp5),6.0,"[appos, protein, amod]",0.0
985,(budesonide/icam-1),22.0,"[agent, followed, partmod]",1.0
986,(aldosterone/wnk4),24.0,"[prep_with, inhibitors, nn]",103.0
987,(diethylcarbamazine/leukotriene),12.0,"[prep_by, unaffected, nsubj]",0.0
988,(n-acetylcysteine/egfr),28.0,"[xsubj, cells, nn]",77.0
989,(amlodipine/egfr),27.0,"[dep, expression, amod]",80.0
990,(melatonin/12-lox),24.0,"[amod, receptor, amod]",0.0
991,(etodolac/cyclooxygenase-2),12.0,"[amod, activity, amod]",90.0
992,(midazolam/cyp3a),15.0,"[nsubj, inhibited, dobj, phosphorylation, nn]",74.0
993,(omeprazole/gastrin),27.0,"[nn, mrna, nn]",0.0
994,(progestogens/igf-i),10.0,"[prep_of, metabolism, nsubjpass, mediated, agent]",22.0
995,(taxanes/mapt),17.0,"[prep_with, increased, nsubjpass, levels, nn]",111.0
996,(atra/gm-csf),5.0,"[nsubj, stabilizes, dobj]",0.0
997,(atorvastatin/pltp),2.0,"[nsubj, activates, dobj]",74.0
998,(cyclophosphamide/lenograstim),2.0,"[prep_with, receptor, appos]",60.0
999,(estrone/aromatase),20.0,"[appos, expression, amod]",46.0
1000,(dexamethasone/fmlp),2.0,"[prep_in, mice, amod]",68.0
1001,(suramin/heparanase),6.0,"[prep_of, effect, dobj, investigated, prep_on, activity, nn]",113.0
1002,(talinolol/p-gp),15.0,"[nsubj, inhibited, dobj, production, nn]",112.0
1003,(tamoxifen/vegf),22.0,"[nsubj, inhibits, acomp]",85.0
1004,(losartan/nf-kappab),3.0,"[prep_of, metabolism, prep_in, involved, partmod, enzyme, nsubj]",105.0
1005,(fluconazole/cyp3a4),28.0,"[nsubj, increase, dobj, expression, amod]",83.0
1006,(isoproterenol/phospholipase),21.0,"[prep_on, induction, prep_of]",112.0
1007,(isoniazid/nat2),17.0,"[appos, agonist, num]",96.0
1008,(hyaluronate/versican),6.0,"[nsubj, increased, dobj, amount, prep_of]",0.0
1009,(rifampin/mrp2),4.0,"[nn, production, dobj, inhibited, nsubj]",31.0
1010,(pargyline/lsd1),28.0,"[amod, inhibitor, nn]",104.0
1011,(hyaluronan/hyal2),20.0,"[nsubj, decreased, dobj]",0.0
1012,(exenatide/glp-1r),16.0,"[nsubj, inhibits, dobj, expression, nn]",87.0
1013,(olanzapine/bdnf),25.0,"[agent, suppressed, nsubjpass]",87.0
1014,(docetaxel/mrp2),17.0,"[prep_with, increased, nsubjpass]",10.0
1015,(vasopressin/phospholipase),22.0,"[prep_on, secretion, amod]",20.0
1016,(hydrocortisone/gm-csf),25.0,"[prep_on, release, nn]",95.0
1017,(curcumin/ikappabalpha),1.0,"[nn, treatment, nn]",16.0
1018,(atorvastatin/apoe),10.0,"[amod, peptide, appos]",78.0
1019,(pentagastrin/calcitonin),21.0,"[nsubj, inhibited, dobj, binding, prep_of]",10.0
1020,(disulfiram/aldh2),12.0,"[agent, caused, partmod]",95.0
1021,(ciprofloxacin/cyp3a4),13.0,"[amod, activator, amod]",75.0
1022,(melatonin/igf-i),16.0,"[prep_of, concentrations, amod]",0.0
1023,(gefitinib/cyp3a4),15.0,"[appos, substrate, amod]",0.0
1024,(methotrexate/leukotriene),0.0,"[partmod, mediated, agent]",94.0
1025,(amitriptyline/gdnf),22.0,"[appos, antagonist, nn]",0.0
1026,(verapamil/calcitonin),9.0,"[nsubj, caused, dobj, increase, prep_of]",79.0
1027,(corticosteroids/inos),24.0,"[nsubj, increased, iobj]",116.0
1028,(gp120/nf-kappab),0.0,"[nsubj, block, dobj]",24.0
1029,(prostacyclin/ppar),11.0,"[nsubj, induce, dobj, expression, amod]",22.0
1030,(urokinase/u-par),20.0,"[prep_by, expression, nn]",0.0
1031,(atra/vegf),17.0,"[amod, group, prep_in, increased, nsubj]",0.0
1032,(losartan/pai-1),28.0,"[nsubj, antibody, rcmod, targets, dobj]",72.0
1033,(curcumin/hif-1),21.0,"[amod, kinase, appos]",71.0
1034,(indomethacin/cox2),28.0,"[nn, levels, appos]",0.0
1035,(dexamethasone/c-fms),13.0,"[prep_on, levels, prep_of]",97.0
1036,(l-dopa/zif-268),0.0,"[prep_with, treated, nsubjpass, patients, nn]",6.0
1037,(melatonin/cox-2),23.0,"[nsubj, binds, prep_to, receptor, nn]",106.0
1038,(diclofenac/smct1),3.0,"[nsubj, decreases, dobj, expression, amod]",86.0
1039,(isoprenaline/cgrp),19.0,"[nsubj, antagonists, amod]",98.0
1040,(thyroxine/mrp2),7.0,"[nn, secretion, nn]",22.0
