,drug-gene,dependency path,Drug-Gene Pair Cluster,Dependency Path Cluster
4609,(dextroamphetamine/snap25),"[nsubj, inhibit, dobj, release, prep_of]",23.0,25.0
4610,(hydrocortisone/pnmt),"[nsubj, inhibit, dobj, current, nn]",1.0,0.0
4611,(p-hpph/cyp2c9),"[amod, currents, nn]",14.0,37.0
4612,(quinidine/romk1),"[appos, development, prep_of, antagonists, amod]",2.0,0.0
4613,(pge2/cyr61),"[dep, inhibitors, prep_of]",14.0,0.0
4614,(dhea/cyp2b6),"[prep_to, associated, nsubjpass]",2.0,0.0
4615,(daunorubicin/nf-kappab),"[nsubjpass, given, prep_with]",8.0,0.0
4616,(midazolam/sapk),"[nsubj, reduced, dobj, secretion, amod]",5.0,0.0
4617,(cisplatin/plaa),"[prep_of, effects, dobj, examined, prep_on, channels, amod]",4.0,0.0
4618,(metformin/glp-1),"[nn, cofactor, prep_without, measured, dep, inactivation, prep_of, activity, nn]",14.0,0.0
4619,(mesalazine/oatp1b1),"[nsubj, decreased, dobj, induction, prep_of]",14.0,0.0
4620,(camptothecin/rad1),"[nsubj, caused, prep_in, absence, prep_of]",14.0,0.0
4621,(rapamycin/tif-ia),"[acomp, metabolizes, rcmod]",3.0,0.0
4622,(estradiol/rfrp),"[nsubj, inhibitors, prep_of]",2.0,0.0
4623,(estradiol/kallikrein),"[prep_on, phosphorylation, amod]",26.0,0.0
4624,(metformin/enos),"[nsubj, induces, dobj, activation, amod]",23.0,85.0
4625,(cerulenin/acylase),"[nsubj, inhibited, dobj, effect, prep_of]",13.0,0.0
4626,(thyrotropin/tsh-beta),"[prep_of, target, dep, pathway, nn]",24.0,0.0
4627,(bacitracin/beta-endorphin),"[nsubj, increased, dobj, levels, amod]",18.0,0.0
4628,(imipramine/hsert),"[nsubj, inhibits, xcomp, carrying, ccomp, experience, nsubj, variants, nn]",18.0,114.0
4629,(pyridoxal/gad65),"[appos, nsaid, nn]",23.0,0.0
4630,(amd3100/filgrastim),"[nsubjpass, converted, agent]",14.0,0.0
4631,(gemcitabine/rkip),"[dep, namely, appos, derivatives, nsubjpass, suggested, prep_for, treatment, prep_of, fever, partmod, caused, agent]",2.0,0.0
4632,(meth/timp-2),"[prep_of, effect, dobj, investigated, prep_on, activation, amod]",23.0,0.0
4633,(metformin/cox-2),"[amod, regulation, prep_of, expression, nn]",25.0,3.0
4634,(telmisartan/p22phox),"[dep, prevention, dep, treated, partmod, nonsmokers, prep_in, observed, advcl, associated, nsubjpass, treatment, nn]",2.0,13.0
4635,(amoxicillin/cd50),"[nsubj, reduced, prep_in, expression, amod]",14.0,0.0
4636,(sorafenib/p-gp),"[amod, concentration, nsubj]",19.0,0.0
4637,(desipramine/5-htt),"[nsubj, inhibited, advcl, inhibited, dobj]",14.0,91.0
4638,(sr141716a/trpv1),"[nsubj, decreased, dobj, mrna, amod]",22.0,8.0
4639,(bortezomib/ho-1),"[advmod, increased, dobj, mrna, nn]",2.0,0.0
4640,(fenofibrate/ppar),"[prep_of, administration, prep_of, effects, dep]",0.0,0.0
4641,(permethrin/nets),"[nsubj, induced, dobj, release, prep_of]",0.0,39.0
4642,(lapatinib/cyp3a4),"[dep, but, prep]",12.0,0.0
4643,(fluorescein/tmhs),"[agent, induced, partmod, protein, nn]",18.0,0.0
4644,(dexamethasone/myostatin),"[prep_for, pathway, nsubj]",19.0,0.0
4645,(furosemide/cox-2),"[amod, toxicities, appos]",8.0,0.0
4646,(metformin/redd1),"[prep_with, inhibitors, amod]",7.0,39.0
4647,(furosemide/cox-1),"[nn, beta, appos]",12.0,84.0
4648,(doxazosin/ap-2alpha),"[agent, induced, partmod, secretion, nn]",18.0,0.0
4649,(sorafenib/caspase-3),"[nsubj, sensitize, prep_to]",23.0,54.0
4650,(creatine/il-18bp),"[appos, anti, dep, antibody, amod]",2.0,0.0
4651,(calcitriol/il-10),"[xcomp, testosterone, acomp, converts, nsubj]",14.0,0.0
4652,(mecamylamine/caspase-3),"[amod, treatment, appos, inhibitor, nn]",18.0,0.0
4653,(lapatinib/pik3ca),"[dobj, metabolises, nsubj]",0.0,0.0
4654,(cholestyramine/ntcp),"[nsubj, induced, dobj, increase, prep_in]",14.0,0.0
4655,(camptothecin/rad9),"[nn, pkr, prep_to, response, prep_in, phosphorylated, advcl, triggers, ccomp, fadd, ccomp, activates, dobj, pathway, amod]",14.0,0.0
4656,(fluoxetine/copd),"[amod, receptor, appos]",6.0,0.0
4657,(mitozantrone/aipc),"[prep_on, activation, prep_of]",2.0,53.0
4658,(forskolin/nociceptin),"[appos, analog, amod]",23.0,0.0
4659,(vorinostat/ugt2b17),"[nsubj, improved, prep_with]",19.0,0.0
4660,(bleomycin/cxcr3),"[prep_of, effects, nsubjpass, mediated, prep_through, inhibition, prep_of, expression, nn]",23.0,0.0
4661,(apomorphine/fgf-2),"[nsubj, attenuates, dobj, translation, amod]",18.0,0.0
4662,(cyclosporine/nfat4),"[prep_of, release, dobj, induces, nsubj]",24.0,0.0
4663,(ornithine/lymphokine),"[prep_on, expression, prep_of, gene, nn]",10.0,8.0
4664,(rofecoxib/nf-kappab),"[prep_of, effect, nsubj, involves, dobj]",17.0,0.0
4665,(remifentanil/escs),"[conj_plus, low, dep, mrna, amod]",23.0,0.0
4666,(olopatadine/tachykinin),"[appos, inhibitor, prep_of, activity, prep_of]",18.0,0.0
4667,(warfarin/vkor),"[nn, fbs, partmod, followed, prep_to, inhibitors, prep_for, methyltransferase, appos]",3.0,0.0
4668,(mitoxantrone/vrna),"[prep_for, negative, prep_for]",21.0,0.0
4669,(carbachol/gpcr),"[prep_of, transport, prep_on]",24.0,23.0
4670,(nedocromil/ifn-gamma),"[dobj, suppressed, nsubj]",8.0,0.0
4671,(chloramphenicol/beta-actin),"[prep_of, production, dobj, induced, nsubj]",18.0,0.0
4672,(voriconazole/demethylase),"[amod, sulphate, appos]",23.0,86.0
4673,(naproxen/mmp-2),"[nsubj, inhibitors, appos]",18.0,0.0
4674,(sn-38/beta-glucuronidase),"[nsubj, suppressed, dobj, secretion, amod]",23.0,0.0
4675,(carvedilol/cx43),"[infmod, susceptibility, dobj, modify, nsubj, variations, prep_in, gene, appos]",1.0,0.0
4676,(dpnh/nicotinamide),"[prep_for, positive, prep_for]",23.0,0.0
4677,(gefitinib/pten),"[nn, treatment, prep_of, effects, appos]",1.0,0.0
4678,(bosentan/gm-csf),"[prep_to, responds, prep_by, kinase, appos]",14.0,0.0
4679,(norepinephrine/atriopeptin),"[partmod, needed, xcomp, block, dobj, current, amod]",23.0,0.0
4680,(creatine/hspa2),"[nn, markedly, prep_by, inhibition, amod]",10.0,0.0
4681,(guanidine/sod1),"[rcmod, inhibits, dobj]",18.0,6.0
4682,(bupivacaine/pgis),"[prep_of, administration, amod]",24.0,0.0
4683,(glimepiride/pi3k),"[dep, mrna, nn]",17.0,0.0
4684,(loperamide/ces2),"[amod, activity, appos]",22.0,85.0
4685,(tacrolimus/cyp3a4),"[amod, treatment, prep_to, resistant, nsubj, cells, nn]",19.0,0.0
4686,(tacrolimus/cyp3a5),"[prep_of, concentrations, prep_with]",19.0,0.0
4687,(memantine/nachr),"[prep_with, receptor, amod]",22.0,0.0
4688,(canertinib/egfr),"[prep_of, effects, nsubj]",3.0,0.0
4689,(captopril/mortalin-2),"[nn, acetate, appos, agonist, amod]",18.0,0.0
4690,(mithramycin/pcdh10),"[prep_to, able, amod]",2.0,0.0
4691,(oxatomide/caspase-3),"[amod, resistance, nn]",3.0,0.0
4692,(clonidine/cgrp),"[prep_to, resulted, nsubj, inhibition, prep_of]",8.0,0.0
4693,(cisplatin/nat1),"[amod, clearance, appos]",21.0,43.0
4694,(forskolin/il-10),"[dobj, produce, prep_to]",23.0,0.0
4695,(epirubicin/pc-3),"[dep, factor, appos]",10.0,0.0
4696,(phencyclidine/nachr),"[nsubj, increased, dobj, activity, amod]",1.0,61.0
4697,(sulfinpyrazone/cltb),"[agent, confirmed, nsubjpass, involvement, prep_of]",0.0,0.0
4698,(il-2/mmp-9),"[nsubj, stimulated, dobj, mrna, nn]",24.0,39.0
4699,(nilotinib/abcg2),"[prep_of, administration, xsubj]",9.0,14.0
4700,(doxorubicin/igf-i),"[appos, theophylline, appos, dextromethorphan, appos]",14.0,14.0
4701,(uricase/oxidoreductase),"[amod, gene, dep]",23.0,14.0
4702,(nadh/15-pgdh),"[amod, efficacy, prep_of, inhibitors, amod]",8.0,0.0
4703,(corticosteroids/hips),"[nsubj, induced, dobj, decrease, prep_in, expression, prep_of]",15.0,46.0
4704,(l-citrulline/ddah),"[nsubj, increased, dobj, latency, amod]",20.0,8.0
4705,(prazosin/ml-1),"[rcmod, inhibited, dobj]",1.0,8.0
4706,(doxorubicin/cox-2),"[nsubj, version, prep_of]",14.0,98.0
4707,(rosiglitazone/sirt6),"[appos, a, dobj, inhibitors, dep, inhibit, dobj, expression, amod]",8.0,94.0
4708,(pentagastrin/cck4),"[prep_of, effect, dobj, determined, prep_on, expression, nn]",2.0,105.0
4709,(l-phenylalanine/oxidoreductase),"[amod, localization, prep_of]",18.0,0.0
4710,(estradiol/tgf-beta3),"[prep_for, release, amod]",8.0,0.0
4711,(desferrioxamine/ml-1),"[agent, stimulated, nsubjpass, hydrolysis, amod]",18.0,0.0
4712,(thyroglobulin/tacstd2),"[prep_with, blockade, amod]",15.0,0.0
4713,(docetaxel/gm-csf),"[amod, effect, prep_of, inhibitor, nn]",15.0,0.0
4714,(griseofulvin/protoporphyria),"[prep_with, inhibitor, nsubj]",4.0,42.0
4715,(phosphatidylserine/sap-2),"[nsubj, reduced, dobj, phosphorylation, prep_of]",5.0,122.0
4716,(gemfibrozil/pai-1),"[appos, drug, partmod, known, prep_to]",0.0,39.0
4717,(simvastatin/cyp3a),"[xsubj, loss, prep_of]",0.0,98.0
4718,(melatonin/glut4),"[prep_with, act, xsubj]",2.0,39.0
4719,(octreotide/peri),"[nsubj, decreased, dobj, activity, prep_of]",2.0,0.0
4720,(isoproterenol/atrogin1),"[prep_with, treated, advcl, determined, nsubjpass, levels, nn]",18.0,0.0
4721,(chloramphenicol/pomc),"[prep_of, effect, nsubj, greater, prep_than, that, prep_of]",2.0,0.0
4722,(acetazolamide/copd),"[nsubj, inhibitor, prep_of, receptors, nn]",0.0,111.0
4723,(il-2/csif),"[agent, affected, nsubjpass, activity, nn]",2.0,111.0
4724,(n-acetylcysteine/cox-2),"[nsubj, inhibited, prep_in, mrna, nn]",4.0,111.0
4725,(l-proline/prodh),"[amod, buserelin, nsubj, agent, parataxis, releasing, dobj, hormone, appos]",27.0,111.0
4726,(flutamide/aromatase),"[prep_of, combination, nsubj, improved, prep_in, patients, amod]",11.0,4.0
4727,(ranibizumab/vegf),"[appos, pdgfa, appos]",22.0,0.0
4728,(forskolin/ht-1080),"[amod, regimen, appos]",10.0,0.0
4729,(n-acetylcysteine/enos),"[dep, gene, amod]",1.0,89.0
4730,(diltiazem/endothelin-1),"[nsubj, reduce, advcl, reduce, dobj, receptor, num]",18.0,0.0
4731,(meth/alpha-synuclein),"[dep, ec, amod]",1.0,24.0
4732,(pioglitazone/socs3),"[nsubj, induce, dobj, activation, amod]",8.0,31.0
4733,(bacitracin/amylin),"[prep_by, receptors, num]",2.0,101.0
4734,(theophylline/ppargamma),"[nsubj, reduced, dobj, mrna, nn]",25.0,0.0
4735,(ornithine/inos),"[prep_by, blocked, dobj, induction, nn]",5.0,0.0
4736,(naringenin/irs-1),"[dep, inhibitor, nn]",14.0,0.0
4737,(clomiphene/igf-i),"[dep, mitoxantrone, prep_to, multidrug, xcomp, show, nsubj, cells, partmod, overexpressing, dobj, gene, amod]",2.0,97.0
4738,(rosiglitazone/stamp2),"[nsubj, increased, dobj, levels, num]",8.0,0.0
4739,(prasugrel/p2y12),"[prep_of, addition, nsubj]",22.0,15.0
4740,(doxorubicin/igfbp-3),"[prep_of, effects, dobj, investigate, prep_on, expression, prep_of]",18.0,0.0
4741,(probucol/mcp-1),"[amod, enzymes, appos]",23.0,0.0
4742,(nitroprusside/m-calpain),"[appos, factor, nn]",22.0,53.0
4743,(pentoxifylline/cd40),"[nsubj, inhibited, dobj, formation, amod]",23.0,0.0
4744,(nutlin-3/p-gp),"[agent, blocked, nsubjpass, phosphorylation, prep_of]",22.0,0.0
4745,(estradiol/csf-1),"[partmod, targeting, dobj, receptor, appos]",14.0,0.0
4746,(nicardipine/cyp3a),"[nsubj, decreased, dobj, concentration, prep_of]",19.0,0.0
4747,(vinblastine/bdnf),"[prep_with, phenotyped, prep_for, activity, amod]",0.0,0.0
4748,(pioglitazone/ctgf),"[amod, secretion, dobj, enhanced, nsubj]",26.0,0.0
4749,(bicalutamide/trka),"[nsubj, present, prep_in]",23.0,0.0
4750,(diltiazem/cyp1a1),"[dep, effects, appos]",23.0,0.0
4751,(toremifene/ifn-alpha),"[nsubj, inhibited, dobj, upregulation, prep_of]",2.0,0.0
4752,(thyroxine/adrenocorticotropin),"[xsubj, agent, nn]",15.0,0.0
4753,(atra/cyp26),"[appos, cofactor, prep_of, synthase, appos]",23.0,0.0
4754,(bimatoprost/cyr61),"[prep_in, mice, num]",14.0,0.0
4755,(bevacizumab/bfgf),"[nsubj, binds, prep_to, protein, appos]",27.0,0.0
4756,(amiloride/neuraminidase),"[prep_of, targets, prep_of, one, nsubj]",2.0,0.0
4757,(cisplatin/napa),"[prep_to, resistance, nsubjpass, mediated, agent, expression, nn]",2.0,123.0
4758,(forskolin/adiponectin),"[dep, adalimumab, dep]",28.0,0.0
4759,(geldanamycin/grp94),"[nsubj, inhibit, dobj, activation, amod]",21.0,0.0
4760,(mexiletine/agas),"[appos, i, dep]",18.0,0.0
4761,(cilostazol/pde3a),"[partmod, induced, prep_in, patients, prep_with]",22.0,0.0
4762,(hesperetin/kip1),"[nsubj, reduces, dobj, expression, amod]",9.0,0.0
4763,(dextromethorphan/beta-glucuronidase),"[dobj, using, xcomp]",2.0,0.0
4764,(moxifloxacin/herg),"[amod, cassette, dobj, inserting, prep_into, gene, nn]",23.0,47.0
4765,(ketoconazole/cyp24a1),"[number, activate, num]",6.0,0.0
4766,(furosemide/hpaht),"[nn, treatment, nsubj, decreased, dobj, expression, nn]",7.0,8.0
4767,(rapamycin/nf-kappab),"[amod, group, appos, cancer, appos, group, amod]",28.0,0.0
4768,(phenytoin/mmp-2),"[prep_of, presence, prep_in, activity, amod]",2.0,0.0
4769,(propofol/cyp3a4),"[nsubj, inhibits, dobj, activity, nn]",15.0,0.0
4770,(pge2/beta-thromboglobulin),"[nsubj, blocked, dobj, response, amod]",2.0,0.0
4771,(cyclosporin/hensin),"[appos, receptor, appos]",14.0,0.0
4772,(leflunomide/caspase-3),"[amod, drugs, prep_in]",14.0,0.0
4773,(novobiocin/tfiiia),"[dep, corticosteroids, amod, plasmapheresis, appos]",3.0,0.0
4774,(urokinase/plaur),"[amod, expression, amod]",0.0,0.0
4775,(isoproterenol/reticulum),"[prep_of, uptake, amod]",25.0,0.0
4776,(arsenite/butyrylcholinesterase),"[amod, phosphate, amod]",22.0,0.0
4777,(pyridoxal/cshmt),"[dep, inhibitors, appos]",14.0,0.0
4778,(iloprost/ctgf),"[amod, fexofenadine, dep, order, dobj, rank, dep, activity, nn]",27.0,0.0
4779,(g-csf/blys),"[xsubj, upregulate, dobj]",14.0,0.0
4780,(tranilast/ve-cadherin),"[nn, receptors, nsubj]",23.0,33.0
4781,(yohimbine/ucp2),"[prep_by, induction, nn]",18.0,0.0
4782,(corticosteroids/cox-2),"[xsubj, substrate, amod]",18.0,0.0
4783,(genistein/hif1-alpha),"[prep_of, capacity, appos]",14.0,0.0
4784,(diuretics/p22phox),"[nsubj, inhibitor, prep_of, monophosphate, dep]",2.0,0.0
4785,(azacytidine/hif1a),"[prep_of, effects, dobj, investigated, advcl, cause, nsubj, blockade, prep_of, channels, nn]",24.0,0.0
4786,(arsenite/reck),"[nsubj, abrogated, dobj, activation, prep_of]",23.0,0.0
4787,(phenobarbitone/nadph),"[nsubj, agonists, prep_of, alpha, appos]",23.0,0.0
4788,(g-csf/creb),"[agent, induced, partmod, death, dobj, inhibits, nsubj]",23.0,124.0
4789,(simvastatin/rac1),"[nsubj, regulated, dobj, expression, prep_of]",17.0,0.0
4790,(capsaicin/bcl-2),"[prep_by, regulation, prep_of]",2.0,7.0
4791,(citalopram/bdnf),"[nsubj, stimulated, dobj, secretion, nn]",2.0,0.0
4792,(calcitriol/rantes),"[amod, antibodies, nn]",9.0,17.0
4793,(infliximab/ho-1),"[xsubj, reduce, dobj, expression, nn]",1.0,0.0
4794,(fluvoxamine/hdrs),"[prep_of, release, dep]",18.0,0.0
4795,(mesna/caspase-3),"[appos, modifier, amod]",0.0,90.0
4796,(taxanes/cox-2),"[partmod, resulted, prep_in]",14.0,0.0
4797,(melatonin/kiss1),"[prep_as, inhibitor, nn]",14.0,0.0
4798,(atra/xaf1),"[appos, activity, appos]",8.0,28.0
4799,(amrinone/interleukin-10),"[nsubj, synergized, prep_with]",18.0,0.0
4800,(sorafenib/caspase-9),"[agent, reduced, nsubjpass, levels, amod]",2.0,0.0
4801,(clofibrate/acox1),"[amod, kinase, amod]",2.0,90.0
4802,(betamethasone/igf-ii),"[nsubj, inhibitor, prep_of, receptor, amod]",2.0,0.0
4803,(gefitinib/mmp-9),"[nsubj, activity, nn]",26.0,0.0
4804,(9-hydroxyrisperidone/cyp2d6),"[advcl, resistant, dep]",2.0,56.0
4805,(ndga/5-lo),"[prep_of, efficacy, dobj, increase, nsubj, deficiency, nn]",15.0,0.0
4806,(docetaxel/samc),"[nsubj, inhibits, dobj, synthesis, amod]",23.0,119.0
4807,(sorafenib/caspase-8),"[amod, receptor, prep_of, knockdown, nsubj, inhibits, dobj, expression, nn]",23.0,0.0
4808,(diaminopyrimidines/pyk2),"[nsubj, reduce, dobj, expression, prep_of]",3.0,37.0
4809,(nimesulide/beta-induced),"[amod, complexes, appos]",14.0,13.0
4810,(ketamine/caldendrin),"[appos, acid, dep]",2.0,0.0
4811,(forskolin/pges),"[dobj, catalyzes, nsubj]",14.0,0.0
4812,(ornithine/calcyclin),"[prep_of, production, appos]",23.0,99.0
4813,(rosiglitazone/cidea),"[partmod, targeted, prep_against]",14.0,0.0
4814,(ramipril/endothelin-1),"[appos, antigen, amod]",23.0,0.0
4815,(il-2/eomes),"[agent, reduced, nsubjpass, secretion, nn]",2.0,0.0
4816,(zd-1839/egfr),"[prep_on, production, prep_of]",22.0,0.0
4817,(dexamethasone/ugt1a1),"[prep_on, secretion, nn]",27.0,0.0
4818,(melatonin/pacap),"[agent, regulated, nsubjpass, expression, nn]",0.0,0.0
4819,(estradiol/flt3),"[xsubj, protein, amod]",14.0,70.0
4820,(etoposide/ctcl),"[prep_of, administration, prep_of, cost, nsubj, ranged, advcl, ranged, nsubj, cost, prep_of, administration, prep_of]",23.0,70.0
4821,(flutamide/smad4),"[xcomp, insensitive, xsubj]",14.0,0.0
4822,(lorazepam/udp-glucuronosyltransferase),"[amod, alpha, appos]",21.0,0.0
4823,(pergolide/ppid),"[appos, antibody, nsubjpass, associated, prep_with, agents, prep_such_as, antibody, amod, interferon, dep, alpha, num]",12.0,0.0
4824,(pge2/mcp-1),"[prep_by, observed, dobj, activation, amod]",10.0,0.0
4825,(pioglitazone/rbp4),"[amod, treatment, prep_by, unaffected, nsubj, expression, nn]",18.0,0.0
4826,(amitriptyline/cyclooxygenase-2),"[prep_to, transfers, nsubj]",18.0,0.0
4827,(capsaicin/bcl-x),"[nn, treatment, prep_after, increased, nsubj, levels, prep_of]",18.0,41.0
4828,(venlafaxine/cyp2d6),"[nn, az, nn]",19.0,0.0
4829,(ccnu/stathmin),"[agent, decreased, nsubjpass, activity, prep_of]",23.0,0.0
4830,(g-csf/erbb2),"[nsubj, induced, dobj, recruitment, prep_of]",14.0,0.0
4831,(famotidine/cd56),"[prep_by, kda, appos]",0.0,0.0
4832,(flutamide/maspin),"[nsubj, inhibitors, num]",22.0,0.0
4833,(dapsone/etanercept),"[amod, a, appos, inhibitor, nn]",14.0,99.0
4834,(valsartan/nadph),"[nsubj, affect, dobj, induction, prep_of]",20.0,0.0
4835,(indomethacin/beta-glucuronidase),"[prep_to, conferred, nsubj, expression, prep_of]",18.0,54.0
4836,(estradiol/nf-kappab),"[nsubj, antibody, amod]",19.0,97.0
4837,(alprazolam/mcp-1),"[nsubj, inhibit, dobj, secretion, nn]",23.0,0.0
4838,(il-2/pten),"[nn, treatment, prep_on, levels, nn]",18.0,67.0
4839,(rosiglitazone/senp2),"[nsubj, activated, dobj, mptc, amod]",2.0,0.0
4840,(gemcitabine/mt1-mmp),"[appos, buspirone, appos, agonists, num]",23.0,11.0
4841,(temozolomide/p38alpha),"[dobj, received, nsubj]",18.0,85.0
4842,(atra/let-7b),"[nsubj, has, dobj, selectivity, prep_for]",23.0,37.0
4843,(progestogens/vegf),"[prep_with, compared, dobj]",18.0,0.0
4844,(dexamethasone/ghrh),"[nsubj, decreased, dobj, production, prep_of]",26.0,120.0
4845,(dexamethasone/ghrl),"[advmod, effective, nsubj, inhibitor, nn]",27.0,70.0
4846,(prostacyclin/vegf-d),"[nsubj, inhibits, xcomp]",2.0,70.0
4847,(genistein/fractalkine),"[amod, activity, prep_of, release, prep_on, examined, dobj, influence, prep_of, factor, appos]",6.0,70.0
4848,(zileuton/cyclooxygenase-2),"[nsubj, mimicked, dobj, action, prep_of]",22.0,103.0
4849,(mitoxantrone/caspase-9),"[appos, activation, amod]",2.0,12.0
4850,(lidocaine/asic3),"[dep, block, num]",13.0,12.0
4851,(norepinephrine/calcitonin),"[prep_of, target, prep_in]",0.0,28.0
4852,(danazol/gnrh),"[nn, regulation, prep_about, get, advcl, searched, iobj, sites, prep_in, region, prep_of, cluster, amod]",0.0,0.0
4853,(gemfibrozil/apoa-i),"[prep_of, biotransformation, prep_for, responsible, nsubj]",18.0,122.0
4854,(colchicine/cyp3a4),"[prep_to, investigated, dobj, effect, prep_of, overexpression, nn]",16.0,0.0
4855,(ampicillin/pprom),"[prep_with, activation, partmod]",6.0,0.0
4856,(colchicine/ptk1),"[dep, inactivator, amod]",10.0,0.0
4857,(colchicine/ptk2),"[dep, heparin, dep]",23.0,0.0
4858,(lopinavir/cyp3a4),"[nsubj, has, dobj, effect, prep_on, activity, prep_of]",19.0,0.0
4859,(nadh/mwfe),"[amod, gene, prep_to, fused, partmod, promoter, amod]",18.0,0.0
4860,(rosiglitazone/ho-1),"[prep_such_as, substrates, dobj, oxidize, nsubj]",22.0,0.0
4861,(dobutamine/sgcd),"[prep_with, treatment, nsubj, increased, dobj, levels, nn]",2.0,119.0
4862,(gm-csf/mcaf),"[nsubj, enhanced, dobj, levels, prep_of, mrna, nn]",18.0,0.0
4863,(paclitaxel/rack1),"[nn, binds, prep_to]",14.0,36.0
4864,(nifedipine/beta-thromboglobulin),"[dep, tykerb, appos, lapatinib, appos, inhibitor, prep_of, activities, prep_of, receptor, appos]",10.0,29.0
4865,(gm-csf/bcl-2),"[amod, inhibition, prep_of, activity, amod]",25.0,0.0
4866,(thyroglobulin/lectin),"[prep_of, activity, prep_in]",15.0,0.0
4867,(leucovorin/nact),"[nsubj, induce, prep_in]",0.0,37.0
4868,(sulfathiazole/aromatase),"[nsubj, affect, dobj, mrna, amod]",14.0,0.0
4869,(gefitinib/cyp2d6),"[nsubjpass, found, advcl, found, nsubjpass]",19.0,0.0
4870,(forskolin/claudin-5),"[prep_of, effects, dobj, reversed, prep_on, expression, amod]",18.0,0.0
4871,(corticosteroids/pnmt),"[prep_with, displayed, xcomp, using, xcomp]",18.0,0.0
4872,(irbesartan/cyp2c9),"[prep_for, specific, amod]",23.0,0.0
4873,(tamoxifen/cox-2),"[nsubj, induces, dobj, downregulation, prep_of]",27.0,0.0
4874,(estradiol/mmp2),"[appos, use, prep_of]",14.0,35.0
4875,(oxaliplatin/chk2),"[rcmod, with, pobj]",23.0,0.0
4876,(estradiol/glut12),"[nsubj, affects, dobj, expression, nn]",10.0,23.0
4877,(il-2/gmcsf),"[nsubj, stimulate, dobj, release, nn]",23.0,94.0
4878,(sulfinpyrazone/mrp2),"[nsubj, molecule, appos]",23.0,0.0
4879,(penicillamine/ho-1),"[nsubj, decreases, dobj, levels, nn]",23.0,0.0
4880,(il-2/t-bet),"[partmod, bound, prep_with]",7.0,0.0
4881,(paromomycin/upf1),"[prep_with, treated, nsubjpass, patients, appos]",23.0,22.0
4882,(indomethacin/15-pgdh),"[prep_of, effects, appos, inhibitor, amod]",25.0,0.0
4883,(docetaxel/cyclooxygenase-2),"[prep, combined, pcomp, with, pobj]",3.0,46.0
4884,(anti-estrogens/cd80),"[nsubj, decreases, dobj, expression, prep_of]",14.0,0.0
4885,(estradiol/tph2),"[nn, inhibitors, amod]",18.0,0.0
4886,(tamoxifen/igf-i),"[nsubjpass, used, prep_as, probe, nn]",26.0,98.0
4887,(creatine/ndpk-d),"[nn, treatment, nsubj, reduced, dobj, expression, prep_of]",7.0,0.0
4888,(gm-csf/bcl-x),"[amod, anion, dep]",4.0,107.0
4889,(nortriptyline/5-ht1c),"[nsubj, inhibit, dep]",18.0,4.0
4890,(bevacizumab/apelin),"[dep, ligands, amod]",14.0,49.0
4891,(mimosine/cerk),"[amod, mrna, appos]",29.0,0.0
4892,(arsenite/nf-kappab),"[amod, suppresses, nsubj]",21.0,108.0
4893,(hpth/pth1r),"[prep_with, interact, xsubj]",25.0,0.0
4894,(ketorolac/cox-2),"[nsubj, enhanced, dobj, levels, amod]",11.0,0.0
4895,(ketorolac/cox-1),"[nn, receptor, prep_of, expression, appos]",9.0,49.0
4896,(phosphatidylserine/cd300f),"[prep_from, cells, num]",18.0,56.0
4897,(rituximab/il-10),"[acomp, transport, nsubj]",23.0,0.0
4898,(prednisolone/mmp-2),"[nsubj, modulates, prep_through, activation, prep_including]",14.0,0.0
4899,(fk506/gria3),"[nsubj, neuronal, amod]",18.0,0.0
4900,(omalizumab/eotaxin),"[nsubj, inhibits, dobj]",14.0,0.0
4901,(furosemide/niddm),"[dep, amines, prep_of, property, prep_for]",2.0,46.0
4902,(fenofibrate/igf1),"[dep, receptor, dep]",14.0,0.0
4903,(atorvastatin/papp-a),"[amod, reactions, amod]",7.0,0.0
4904,(gabapentin/cav2),"[agent, induced, partmod, inhibition, amod]",2.0,11.0
4905,(nifedipine/mcp-1),"[nn, activity, prep_in]",4.0,0.0
4906,(gw572016/erbb2),"[nn, groups, prep_in]",9.0,0.0
4907,(gw572016/erbb1),"[nsubj, treatment, prep_for, patients, prep_with]",9.0,0.0
4908,(clonidine/beta-endorphin),"[appos, target, prep_of, inhibitor, appos]",13.0,44.0
4909,(rituximab/il-22),"[nsubj, suppress, dobj, activity, prep_of]",14.0,115.0
4910,(tacrolimus/hsp70),"[nsubjpass, known, prep_to]",21.0,0.0
4911,(imiquimod/il-1),"[nsubj, decreased, dobj, incidence, prep_of]",18.0,3.0
4912,(cisplatin/cis1),"[nn, exposure, nn]",2.0,0.0
4913,(mucolytics/copd),"[nsubj, mediate, prep_through]",0.0,8.0
4914,(resveratrol/nfkappab),"[prep_of, target, amod]",17.0,8.0
4915,(naltrexone/akr1c4),"[amod, proteins, nn]",18.0,0.0
4916,(ketoconazole/leukotriene),"[prep_like, drugs, prep_of, target, nsubj, receptor, nn]",18.0,0.0
4917,(nitroprusside/il-1),"[prep_with, mice, nn]",2.0,38.0
4918,(gemcitabine/srpk1),"[prep_of, presence, prep_in, derived, prep_from, culture, prep_of, cells, amod]",18.0,0.0
4919,(tacrolimus/sacs),"[prep_to, exposure, amod]",18.0,0.0
4920,(metformin/niddm),"[nsubj, agonist, prep_at, receptors, num]",0.0,0.0
