,druggene,row_indice
12032,"(naloxone,nor1)",6038
12033,"(fluoroquinolones,octn2)",6039
12034,"(corticosteroids,fgf-1)",6040
12036,"(antivirals,neuraminidase)",6041
12042,"(fluvastatin,pon1)",6042
12044,"(metformin,pepck)",6043
12050,"(methotrexate,slco1b1)",6044
12051,"(terfenadine,icam-1)",6045
12052,"(melphalan,nf-kappab)",6046
12053,"(vincristine,p-gp)",6047
12058,"(resveratrol,aspp1)",6048
12060,"(hesperetin,nf-kappab)",6049
12063,"(ru486,gnrh)",6050
12064,"(emtricitabine,dakar)",6051
12065,"(prednisolone,catabolin)",6052
12066,"(metformin,pmat)",6053
12069,"(gemcitabine,xiap)",6054
12070,"(g-csf,il-1ra)",6055
12071,"(il-1ra,g-csf)",6056
12073,"(halothane,beta2)",6057
12074,"(loperamide,beta-endorphin)",6058
12075,"(rapamycin,mcp-1)",6059
12076,"(gm-csf,cd116)",6060
12078,"(irinotecan,pten)",6061
12079,"(arsenite,fasl)",6062
12080,"(rituximab,rkip)",6063
12081,"(indomethacin,leukotriene)",6064
12085,"(talpha1,alpha1)",6065
12086,"(prednisolone,inos)",6066
12087,"(forskolin,galr1)",6067
12088,"(decitabine,p53r2)",6068
12090,"(pimozide,cyp3a4)",6069
12091,"(resveratrol,vldlr)",6070
12092,"(cisplatin,akt2)",6071
12093,"(gemcitabine,egfr)",6072
12097,"(norepinephrine,bdnf)",6073
12098,"(cisplatin,foxo3a)",6074
12100,"(gm-csf,cd11c)",6075
12102,"(gm-csf,cd11b)",6076
12104,"(calcein,p-gp)",6077
12106,"(bexarotene,igfbp-6)",6078
12107,"(bisphosphonates,pins)",6079
12108,"(flavopiridol,vegf)",6080
12110,"(warfarin,osteocalcin)",6081
12113,"(vincristine,caspase-3)",6082
12115,"(il-2,egr-2)",6083
12116,"(abciximab,beta3)",6084
12117,"(creatine,sgk1)",6085
12118,"(corticosteroids,aied)",6086
12119,"(gp120,s1-1)",6087
12120,"(papain,srbc)",6088
12121,"(pitavastatin,adiponectin)",6089
12122,"(lomustine,ifn-alpha)",6090
12123,"(amoxicillin,pprom)",6091
12124,"(n-acetylcysteine,mtf-1)",6092
12125,"(meth,nnos)",6093
12127,"(josamycin,muc5ac)",6094
12128,"(gm-csf,caspase-1)",6095
12129,"(etoposide,abcg2)",6096
12130,"(danazol,escs)",6097
12133,"(gm-csf,caspase-3)",6098
12134,"(mequitazine,cyp3a)",6099
12135,"(il-1ra,beta-galactosidase)",6100
12136,"(nimodipine,vegf)",6101
12137,"(trastuzumab,p27kip1)",6102
12139,"(forskolin,aqp2)",6103
12141,"(furafylline,cyp2c19)",6104
12143,"(rifampin,abcb1)",6105
12144,"(furazolidone,ml-1)",6106
12145,"(menadione,methemoglobin)",6107
12146,"(thyrotropin,factor-1)",6108
12147,"(phosphatidylserine,fcho2)",6109
12148,"(isoproterenol,resistin)",6110
12149,"(tamoxifen,agr2)",6111
12150,"(resveratrol,ifn-gamma)",6112
12151,"(g-csf,p47phox)",6113
12152,"(prednisolone,c1inh)",6114
12153,"(melatonin,reticulum)",6115
12154,"(pitavastatin,il-18)",6116
12155,"(simvastatin,ifn-gamma)",6117
12157,"(docetaxel,abcb1)",6118
12158,"(ondansetron,cyp2d6)",6119
12160,"(tryptophane,pank2)",6120
12161,"(ketamine,cyp3a4)",6121
12163,"(genistein,brca1)",6122
12165,"(pge2,tgf-beta2)",6123
12167,"(aldosterone,npff)",6124
12168,"(raloxifene,ugt1a8)",6125
12169,"(telmisartan,mcp-1)",6126
12170,"(ezetimibe,statin)",6127
12188,"(tamoxifen,beta-catenin)",6128
12189,"(carbamazepine,phacs)",6129
12190,"(escitalopram,htr2a)",6130
12191,"(forskolin,amp-18)",6131
12192,"(aldosterone,lox-1)",6132
12194,"(felodipine,caldesmon)",6133
12195,"(carbachol,trpc6)",6134
12196,"(carbachol,trpc5)",6135
12198,"(paracetamol,udp-glucuronosyltransferase)",6136
12200,"(prednisolone,indo)",6137
12201,"(carbachol,trpc3)",6138
12202,"(il-11,nf-kappab)",6139
12204,"(albendazole,cyp1a1)",6140
12205,"(donepezil,cgrp)",6141
12206,"(urokinase,u-pa)",6142
12229,"(famotidine,hoct1)",6143
12230,"(furosemide,aicl)",6144
12231,"(piroxicam,cox-1)",6145
12235,"(ritodrine,beta2)",6146
12237,"(piroxicam,cox-2)",6147
12239,"(pyridostigmine,butyrylcholinesterase)",6148
12241,"(isoflurane,nnos)",6149
12242,"(phenylbutazone,mrp2)",6150
12243,"(fludarabine,stat1)",6151
12250,"(orphenadrine,cyp3a)",6152
12251,"(atorvastatin,enos)",6153
12257,"(terfenadine,reticulum)",6154
12258,"(diethylcarbamazine,5-lipoxygenase)",6155
12259,"(phenylbutazone,mrp4)",6156
12260,"(rosiglitazone,nachr)",6157
12263,"(etoposide,abcc1)",6158
12264,"(resveratrol,sir2)",6159
12266,"(cisplatin,ccl23)",6160
12267,"(flutamide,mrp1)",6161
12268,"(atorvastatin,cox-2)",6162
12273,"(paclitaxel,caspase-8)",6163
12274,"(vasopressin,atriopeptin)",6164
12276,"(fenoterol,copd)",6165
12278,"(camptothecin,rpa32)",6166
12279,"(aldosterone,phospholipase)",6167
12280,"(cisplatin,dlts)",6168
12281,"(griseofulvin,ferrochelatase)",6169
12282,"(decitabine,rap1gap)",6170
12283,"(sevoflurane,nfkappab)",6171
12284,"(melatonin,pars)",6172
12286,"(haloperidol,gfap)",6173
12287,"(iudr,c-type)",6174
12288,"(rapamycin,frap1)",6175
12289,"(raloxifene,ugt1a1)",6176
12290,"(bortezomib,myd88)",6177
12291,"(mitoxantrone,rack1)",6178
12292,"(cisplatin,vegf)",6179
12296,"(carbapenems,pisp)",6180
12297,"(rapamycin,tsc2)",6181
12300,"(pioglitazone,activin)",6182
12301,"(dhea,cyp1a1)",6183
12303,"(rapamycin,tsc1)",6184
12307,"(fluvastatin,oat1)",6185
12308,"(calcitriol,eag1)",6186
12311,"(bicalutamide,lhrh)",6187
12312,"(clomiphene,lectin)",6188
12313,"(aldosterone,k-ras2a)",6189
12315,"(staurosporine,tao2)",6190
12316,"(furosemide,hoat1)",6191
12317,"(forskolin,ikappabalpha)",6192
12318,"(losartan,osteopontin)",6193
12319,"(ivermectin,ml-1)",6194
12320,"(dexamethasone,l-pgds)",6195
12324,"(hyaluronidase,hyal5)",6196
12325,"(sulfamethoxazole,cyp2c9)",6197
12328,"(hyaluronidase,hyal4)",6198
12329,"(bisoprolol,beta2)",6199
12330,"(orphenadrine,cyp2b)",6200
12332,"(hydrocortisone,gamma-glutamyltransferase)",6201
12333,"(paclitaxel,pdk1)",6202
12334,"(curcumin,sult1a1)",6203
12335,"(collagenase,saa3)",6204
12337,"(etoposide,bcl-xl)",6205
12339,"(cilomilast,il-17)",6206
12340,"(carnitine,o-acetyltransferase)",6207
12341,"(curcumin,sult1a3)",6208
12342,"(irinotecan,tyms)",6209
12343,"(etoposide,tp53)",6210
12344,"(hyaluronidase,hyal1)",6211
12345,"(melatonin,sulfotransferase)",6212
12346,"(hyaluronidase,hyal3)",6213
12348,"(hyaluronidase,hyal2)",6214
12351,"(dhea,c1inh)",6215
12352,"(cisplatin,ccl11)",6216
12353,"(pge2,kallikrein)",6217
12354,"(ritonavir,acyltransferase)",6218
12355,"(prazosin,phospholipase)",6219
12356,"(ciprofloxacin,vegf)",6220
12357,"(lindane,reticulum)",6221
12358,"(rapamycin,p27kip1)",6222
12359,"(roflumilast,copd)",6223
12368,"(losartan,ctgf)",6224
12371,"(finasteride,vegf)",6225
12373,"(bezafibrate,enos)",6226
12376,"(triiodothyronine,igf-i)",6227
12377,"(evodiamine,caspase-3)",6228
12378,"(forskolin,cd34)",6229
12379,"(amsacrine,hprt)",6230
12380,"(cisplatin,endog)",6231
12381,"(domperidone,p-gp)",6232
12382,"(forskolin,ap-1)",6233
12383,"(genistein,stat3)",6234
12384,"(indinavir,m-calpain)",6235
12386,"(beta-estradiol,oxidoreductase)",6236
12388,"(ru486,mrp2)",6237
12389,"(daunorubicin,nfkappab)",6238
12390,"(hyaluronan,mmp-3)",6239
12391,"(cyclosporin,beta-induced)",6240
12392,"(levothyroxine,dlst)",6241
12393,"(calcitriol,cd14)",6242
12395,"(tacrine,cholinesterase)",6243
12419,"(everolimus,ifn-gamma)",6244
12420,"(g-csf,cxcr4)",6245
12424,"(doxazosin,egfr)",6246
12425,"(apap,nnos)",6247
12426,"(nifedipine,alpha1)",6248
12427,"(l-proline,snat2)",6249
12429,"(saha,vegf)",6250
12430,"(atra,mmp2)",6251
12431,"(tolbutamide,cyp2c9)",6252
12449,"(carbamazepine,phospholipase)",6253
12451,"(amiloride,glucose-6-phosphatase)",6254
12453,"(forskolin,pcsk5)",6255
12454,"(kyotorphin,met-enkephalin)",6256
12457,"(lidocaine,smvt)",6257
12458,"(dasatinib,pdgfr)",6258
12459,"(picrotoxin,cyp1a1)",6259
12460,"(bevacizumab,vegf)",6260
12560,"(haloperidol,pomc)",6261
12562,"(octreotide,shp-1)",6262
12563,"(ezetimibe,lp-pla2)",6263
12565,"(felodipine,cabp)",6264
12566,"(etoposide,top2)",6265
12568,"(amiloride,gfap)",6266
12569,"(beta-estradiol,ara70)",6267
12570,"(ramelteon,bdnf)",6268
12571,"(bleomycin,hsp47)",6269
12572,"(cisplatin,mate1)",6270
12573,"(forskolin,cd69)",6271
12574,"(raloxifene,aromatase)",6272
12575,"(nadh,inha)",6273
12577,"(haloperidol,rps6)",6274
12578,"(fk506,penk)",6275
12579,"(sirolimus,nkcc2)",6276
12580,"(hyaluronan,beta-induced)",6277
12581,"(estradiol,gad65)",6278
12582,"(collagenase,sparc)",6279
12586,"(estradiol,gad67)",6280
12587,"(resveratrol,zhangfei)",6281
12588,"(hydroquinone,miox)",6282
12589,"(ifosfamide,cox-2)",6283
12590,"(estradiol,p27kip1)",6284
12591,"(pge2,pghs-2)",6285
12599,"(aldosterone,nf-kappab)",6286
12605,"(carvedilol,timp-2)",6287
12606,"(stanozolol,alds)",6288
12607,"(axitinib,abcb1)",6289
12608,"(dexamethasone,mrp2)",6290
12610,"(losartan,pkc-alpha)",6291
12611,"(bupivacaine,cd50)",6292
12612,"(chloramphenicol,beta-galactosidase)",6293
12614,"(phosphatidylserine,crd1)",6294
12615,"(ouabain,reticulum)",6295
12617,"(phentolamine,sur1)",6296
12618,"(cyclosporine,calmodulin)",6297
12620,"(lenalidomide,ifn-gamma)",6298
12622,"(rapamycin,rapa)",6299
12633,"(nitrendipine,niddm)",6300
12634,"(verapamil,mdr1)",6301
12641,"(midodrine,picd)",6302
12642,"(vinorelbine,scce)",6303
12643,"(staurosporine,pp68)",6304
12644,"(genistein,cyp1a1)",6305
12647,"(apap,gm-csf)",6306
12648,"(nifedipine,ifn-gamma)",6307
12649,"(betahistine,stat6)",6308
12650,"(tamoxifen,jnk1)",6309
12652,"(forskolin,cd14)",6310
12653,"(haloperidol,vegf)",6311
12654,"(cisplatin,tcrp1)",6312
12655,"(staurosporine,pp55)",6313
12656,"(estradiol,galpha)",6314
12657,"(ouabain,nhe3)",6315
12658,"(etomidate,pseudocholinesterase)",6316
12660,"(etodolac,caspase-8)",6317
12661,"(cci-779,pc-3)",6318
12662,"(amrinone,icam-1)",6319
12663,"(buprenorphine,p-gp)",6320
12664,"(doxorubicin,chk1)",6321
12665,"(ketoprofen,hoat1)",6322
12666,"(dexamethasone,beta3)",6323
12667,"(doxorubicin,il-1)",6324
12669,"(papain,hla-b27)",6325
12670,"(menadione,mekk1)",6326
12671,"(tamoxifen,5-lipoxygenase)",6327
12672,"(arsenite,cyp2b)",6328
12673,"(bortezomib,inos)",6329
12674,"(bcnu,atase)",6330
12675,"(gm-csf,apcs)",6331
12676,"(gm-csf,shp-2)",6332
12677,"(vincristine,mcl-1)",6333
12678,"(pge2,phospholipase)",6334
12679,"(arsenite,cat-4)",6335
12680,"(antipyrine,apcl)",6336
12682,"(trazodone,cyp3a4)",6337
12683,"(isoniazid,histaminase)",6338
12685,"(irinotecan,hce-2)",6339
12686,"(norepinephrine,beta-endorphin)",6340
12688,"(fenofibrate,ppar-gamma)",6341
12690,"(troglitazone,alpha1)",6342
12691,"(flutamide,gnrh)",6343
12694,"(papain,ubiquitin)",6344
12695,"(fibrates,apoa-i)",6345
12698,"(hydrocortisone,hdac)",6346
12699,"(curcumin,pokemon)",6347
12701,"(dexamethasone,nhe-3)",6348
12702,"(carboplatin,nact)",6349
12703,"(dexamethasone,nhe-1)",6350
12704,"(genistein,inositol)",6351
12706,"(apap,trpa1)",6352
12707,"(disulfiram,p-gp)",6353
12709,"(auranofin,nrf2)",6354
12711,"(carnitine,ml-1)",6355
12712,"(verapamil,socs)",6356
12713,"(gm-csf,shp-1)",6357
12714,"(dobutamine,nnos)",6358
12715,"(staurosporine,endo)",6359
12716,"(antipyrine,apc1)",6360
12717,"(betaine,apob)",6361
12718,"(gemcitabine,gadd45a)",6362
12719,"(tranilast,parp)",6363
12720,"(simvastatin,mmp1)",6364
12721,"(aldosterone,kallikrein)",6365
12725,"(disulfiram,caspase-1)",6366
12726,"(dibucaine,calmodulin)",6367
12727,"(carbachol,mglur1a)",6368
12728,"(bicalutamide,umtck)",6369
12729,"(forskolin,osteocalcin)",6370
12730,"(tamoxifen,fgfr3)",6371
12731,"(clemastine,p2x7)",6372
12733,"(colchicine,nadph)",6373
12734,"(pancuronium,cholinesterase)",6374
12736,"(tamoxifen,tgf-alpha)",6375
12738,"(spermine,delta1)",6376
12739,"(pentobarbital,cb1r)",6377
12740,"(glyburide,ikatp)",6378
12741,"(fibrates,mdr2)",6379
12743,"(fluorescein,eef-2)",6380
12744,"(diazepam,ifn-gamma)",6381
12746,"(mannitol,bars)",6382
12747,"(paclitaxel,mcl-1)",6383
12748,"(nortriptyline,sert)",6384
12749,"(calcitriol,osteocalcin)",6385
12755,"(curcumin,bcl-2)",6386
12764,"(bortezomib,stat3)",6387
12766,"(corticosteroids,il-1)",6388
12772,"(lovastatin,egfr)",6389
12775,"(cysteamine,inos)",6390
12776,"(gentamicin,xiap)",6391
12777,"(norepinephrine,thermogenin)",6392
12780,"(trastuzumab,kip1)",6393
12781,"(indomethacin,egr-1)",6394
12782,"(temozolamide,parp1)",6395
12783,"(dasatinib,mmp-9)",6396
12784,"(cyclosporine,chrs)",6397
12785,"(degarelix,gnrh)",6398
12791,"(pentamidine,mre11)",6399
12792,"(bethanechol,mucin)",6400
12794,"(celecoxib,abcg2)",6401
12795,"(salbutamol,ho-1)",6402
12796,"(arsenite,rac1)",6403
12797,"(estradiol,ml-1)",6404
12798,"(estrone,src-1)",6405
12799,"(saquinavir,abcb1)",6406
12800,"(cidofovir,hoat1)",6407
12801,"(sunitinib,vegfr-3)",6408
12802,"(irinotecan,nf-kappa-b)",6409
12803,"(aldosterone,sgk1)",6410
12815,"(il-2,p70-75)",6411
12817,"(bupivacaine,methemoglobin)",6412
12818,"(isoproterenol,ncam)",6413
12819,"(vorinostat,bcl-x)",6414
12820,"(fgf-7,egr-1)",6415
12821,"(indomethacin,tnfr1)",6416
12822,"(triiodothyronine,igfbp-4)",6417
12823,"(triiodothyronine,igfbp-1)",6418
12824,"(estradiol,tspo)",6419
12825,"(fk506,nur77)",6420
12826,"(rolipram,interleukin-10)",6421
12827,"(sunitinib,gm-csf)",6422
12828,"(ketoconazole,cyp2c8)",6423
12830,"(amrinone,reticulum)",6424
12831,"(lovastatin,ldlr)",6425
12832,"(meth,mm46)",6426
12833,"(gp120,ppargamma)",6427
12834,"(isoproterenol,rgs2)",6428
12836,"(pentoxifylline,il-18)",6429
12837,"(forskolin,hsd11b2)",6430
12838,"(ritonavir,nf-kappab)",6431
12840,"(naringenin,ikappabalpha)",6432
12841,"(propranolol,phospholipase)",6433
12843,"(capsaicin,aqp5)",6434
12844,"(mibefradil,p-gp)",6435
12845,"(forskolin,apoprotein)",6436
12846,"(4-methylpyrazole,redd1)",6437
12847,"(diclofenac,cyp2c)",6438
12848,"(atorvastatin,ampk)",6439
12849,"(carnitine,cdv-1)",6440
12850,"(methylprednisolone,bcl-2)",6441
12851,"(gp120,gdnf)",6442
12852,"(arsenite,snat2)",6443
12853,"(gm-csf,icam-3)",6444
12854,"(cisplatin,cdc25a)",6445
12855,"(gm-csf,icam-1)",6446
12856,"(doxycycline,gdnf)",6447
12857,"(torsemide,oat1)",6448
12858,"(ribavirin,neuraminidase)",6449
12859,"(sulpiride,drd2)",6450
12860,"(peroxides,pon1)",6451
12863,"(fenfluramine,beta-endorphin)",6452
12864,"(sertraline,p-gp)",6453
12865,"(verapamil,cd44)",6454
12866,"(cetuximab,k-ras)",6455
12867,"(verapamil,iapp)",6456
12868,"(valsartan,cyp2c9)",6457
12870,"(nitroprusside,vegf)",6458
12871,"(udenafil,pde5)",6459
12874,"(ximelagatran,cyp2c9)",6460
12875,"(il-2,tpl-2)",6461
12876,"(metformin,dppiv)",6462
12878,"(buserelin,gnrh)",6463
12916,"(amd3100,hspc)",6464
12917,"(irbesartan,ace2)",6465
12918,"(remifentanil,inos)",6466
12919,"(valdecoxib,cox-2)",6467
12930,"(5-asa,ikappabalpha)",6468
12931,"(valdecoxib,cox-1)",6469
12932,"(terfenadine,caspase-8)",6470
12933,"(forskolin,alpha-msh)",6471
12935,"(carbamazepine,abcc2)",6472
12936,"(clonazepam,pars)",6473
12937,"(diazoxide,vgat)",6474
12938,"(indomethacin,mrp1)",6475
12940,"(hydroxycarbamide,pecam-1)",6476
12941,"(sildenafil,pde5)",6477
13002,"(maprotiline,herg)",6478
13010,"(sildenafil,pde4)",6479
13011,"(prazosin,lhrh)",6480
13012,"(glcnac,ugt3a1)",6481
13013,"(secretin,creb)",6482
13014,"(imatinib,ifn-alpha)",6483
13016,"(tranilast,tgfbeta)",6484
13017,"(su11248,ampk)",6485
13019,"(memantine,gp120)",6486
13020,"(melatonin,ins-1)",6487
13022,"(pge2,activin)",6488
13023,"(forskolin,sstr1)",6489
13024,"(l-arg,cat-1)",6490
13025,"(antimalarials,methemoglobin)",6491
13026,"(cimetidine,oct2)",6492
13029,"(etoposide,nf-kappab)",6493
13031,"(mebendazole,ifn-gamma)",6494
13032,"(carbachol,p125)",6495
13033,"(sunitinib,csf-1r)",6496
13034,"(cerivastatin,mcp-1)",6497
13035,"(oestriol,papp-a)",6498
13036,"(alendronate,rankl)",6499
13037,"(quinapril,niddm)",6500
13038,"(etoposide,flt3)",6501
13039,"(rapamycin,cyclooxygenase-2)",6502
13040,"(escitalopram,cyp2d6)",6503
13041,"(pranlukast,cysltr1)",6504
13043,"(erlotinib,her3)",6505
13044,"(erlotinib,her2)",6506
13048,"(metformin,amylin)",6507
13049,"(erlotinib,her1)",6508
13051,"(cetrorelix,gnrh)",6509
13067,"(resveratrol,nrf2)",6510
13069,"(clonidine,pnmt)",6511
13071,"(ddavp,aqp-2)",6512
13072,"(estradiol,rankl)",6513
13074,"(pioglitazone,sgk1)",6514
13076,"(darapladib,lp-pla2)",6515
13079,"(oxaliplatin,vegf)",6516
13081,"(cyclosporin,cyp3a4)",6517
13087,"(doxepin,5-ht1c)",6518
13088,"(paclitaxel,parp)",6519
13090,"(mitoxantrone,il-10)",6520
13091,"(phenoxybenzamine,gastrin)",6521
13092,"(gefitinib,survivin)",6522
13093,"(cetuximab,icer)",6523
13094,"(bupropion,pro-opiomelanocortin)",6524
13095,"(losartan,tsp1)",6525
13096,"(estradiol,hsd2)",6526
13097,"(vincristine,traf1)",6527
13098,"(nilutamide,aipc)",6528
13099,"(rapamycin,phas-i)",6529
13101,"(melatonin,caspase-9)",6530
13102,"(paroxetine,5-ht2a)",6531
13103,"(metoclopramide,strabismus)",6532
13104,"(melatonin,caspase-8)",6533
13105,"(norepinephrine,epha4)",6534
13106,"(paroxetine,5-ht1a)",6535
13107,"(imiquimod,oas1)",6536
13108,"(danazol,cyp2c9)",6537
13109,"(mitomycin,fance)",6538
13110,"(staurosporine,vegf)",6539
13111,"(dasatinib,cyp3a4)",6540
13112,"(raloxifene,mmp-2)",6541
13114,"(mitomycin,fancc)",6542
13115,"(clopidogrel,bach)",6543
13116,"(zidovudine,mdr1)",6544
13117,"(melatonin,caspase-3)",6545
13119,"(aprepitant,nk-1r)",6546
13120,"(bacitracin,pthrp)",6547
13121,"(rosiglitazone,mrp2)",6548
13122,"(leflunomide,jak3)",6549
13123,"(mineralocorticoids,sgk1)",6550
13125,"(carvedilol,alpha1)",6551
13130,"(glcnac,endo-beta-n-acetylglucosaminidase)",6552
13131,"(arsenite,hdac6)",6553
13132,"(formoterol,mcp-1)",6554
13133,"(metformin,her2)",6555
13134,"(peroxides,ucp3)",6556
13135,"(dexamethasone,cyp11a)",6557
13136,"(allopregnanolone,lhrh)",6558
13137,"(resveratrol,grp78)",6559
13138,"(irinotecan,ugt1a1)",6560
13140,"(bleomycin,mre11)",6561
13141,"(dantrolene,pyk2)",6562
13142,"(phenylephrine,15-lox)",6563
13143,"(pyrilamine,nf-kappab)",6564
13144,"(curcumin,mmp-13)",6565
13145,"(cimetidine,hoat1)",6566
13146,"(quinacrine,gm-csf)",6567
13147,"(isradipine,bfgf)",6568
13148,"(dutasteride,pca3)",6569
13149,"(fk506,cd40l)",6570
13151,"(gp120,enos)",6571
13153,"(rapamycin,peripherin)",6572
13154,"(genistein,nag-1)",6573
13156,"(atra,nt-3)",6574
13157,"(goserelin,gnrh)",6575
13177,"(alendronate,fpps)",6576
13179,"(ketanserin,copd)",6577
13180,"(gp120,cox-2)",6578
13183,"(atazanavir,cyp3a4)",6579
13184,"(niclosamide,nf-kappab)",6580
13185,"(pitavastatin,rhoa)",6581
13187,"(creatine,umtck)",6582
13188,"(thiopental,faah)",6583
13189,"(ornithine,samdc)",6584
13192,"(fibrates,pcsk9)",6585
13194,"(pioglitazone,nf-kappab)",6586
13197,"(triiodothyronine,myod)",6587
13198,"(nifedipine,timp-1)",6588
13199,"(thyroxine,udp-glucuronosyltransferase)",6589
13200,"(doxorubicin,herg)",6590
13201,"(mineralocorticoids,kallikrein)",6591
13203,"(rofecoxib,cyclooxygenase-2)",6592
13227,"(plx4032,b-raf)",6593
13231,"(dexamethasone,cyp4a11)",6594
13232,"(gm-csf,mt1-mmp)",6595
13235,"(isoproterenol,lc20)",6596
13236,"(gemcitabine,erp29)",6597
13237,"(gm-csf,pars)",6598
13238,"(eplerenone,nephrin)",6599
13239,"(theophylline,calmodulin)",6600
13241,"(guaifenesin,ml-1)",6601
13242,"(guanfacine,beta-endorphin)",6602
13243,"(ipratropium,copd)",6603
13251,"(curcumin,c-abl)",6604
13252,"(diazoxide,connexin-43)",6605
13253,"(irinotecan,ugt1a9)",6606
13254,"(daunorubicin,cyclooxygenase-2)",6607
13255,"(terfenadine,p-gp)",6608
13257,"(tamoxifen,beta-galactosidase)",6609
13258,"(imiquimod,oasl)",6610
13259,"(roflumilast,il-17a)",6611
13260,"(ketamine,nf-kappa-b)",6612
13262,"(chloramphenicol,dhfr)",6613
13263,"(doxorubicin,her2)",6614
13264,"(phenylephrine,sirt1)",6615
13265,"(norepinephrine,mao-a)",6616
13267,"(atra,rela)",6617
13268,"(octreotide,pc-3)",6618
13269,"(amantadine,hsp70)",6619
13270,"(ranitidine,mucin)",6620
13271,"(menadione,akr7a2)",6621
13273,"(rapamycin,socs3)",6622
13274,"(paclitaxel,pc-3)",6623
13276,"(g-csf,myd88)",6624
13277,"(imidapril,ces1)",6625
13278,"(hydrocortisone,g-csf)",6626
13279,"(glutaraldehyde,glycogenin)",6627
13280,"(loxapine,cyp3a4)",6628
13281,"(ouabain,dc-stamp)",6629
13282,"(lenalidomide,abcb1)",6630
13284,"(tamoxifen,bfgf)",6631
13285,"(almotriptan,5-ht1b)",6632
13289,"(il-2,cxcr3)",6633
13293,"(protriptyline,herg)",6634
13295,"(mirtazapine,cyp1a2)",6635
13296,"(imatinib,cd38)",6636
13297,"(forskolin,pai-1)",6637
13299,"(imatinib,cd34)",6638
13303,"(cyclosporine,etanercept)",6639
13305,"(atra,ezh2)",6640
13306,"(pyridoxine,inositol)",6641
13307,"(probenecid,udp-glucuronosyltransferase)",6642
13308,"(il-2,cxcr4)",6643
13310,"(nutlin-3,rita)",6644
13311,"(captopril,adamts-1)",6645
13312,"(cimetidine,octn2)",6646
13313,"(carbachol,mcp-1)",6647
13314,"(nefazodone,ifn-alpha)",6648
13315,"(cetirizine,leukotriene)",6649
13316,"(trazodone,cyp2d6)",6650
13317,"(paclitaxel,ikappabalpha)",6651
13318,"(cisplatin,mda-7)",6652
13319,"(finasteride,proenkephalin-a)",6653
13320,"(estradiol,nnos)",6654
13321,"(cisplatin,puralpha)",6655
13322,"(diazoxide,txnip)",6656
13323,"(haloperidol,cox-2)",6657
13324,"(pravastatin,mrp2)",6658
13326,"(orlistat,cyp3a4)",6659
13327,"(estradiol,hdac1)",6660
13328,"(clozapine,gria1)",6661
13330,"(irinotecan,drg1)",6662
13332,"(clozapine,gria2)",6663
13333,"(dexamethasone,stat3)",6664
13335,"(oxytocin,osteocalcin)",6665
13336,"(berberine,inos)",6666
13337,"(staurosporine,myt1)",6667
13338,"(cisplatin,epor)",6668
13339,"(fenofibrate,pltp)",6669
13340,"(defibrotide,pai-1)",6670
13341,"(haloperidol,enos)",6671
13342,"(probucol,abca1)",6672
13349,"(cisplatin,tace)",6673
13353,"(zidovudine,p-gp)",6674
13354,"(quinapril,enos)",6675
13355,"(zd1839,jab1)",6676
13356,"(chloramphenicol,ip-10)",6677
13357,"(gemcitabine,bcl-2)",6678
13358,"(pramlintide,amylin)",6679
13368,"(imatinib,cd69)",6680
13369,"(sitaxsentan,etra)",6681
13370,"(doxorubicin,etanercept)",6682
13371,"(d-amphetamine,beta-endorphin)",6683
13373,"(dexamethasone,stat4)",6684
13374,"(risperidone,cyp1a2)",6685
13375,"(curcumin,md-2)",6686
13377,"(tiagabine,gat-1)",6687
13380,"(paclitaxel,gadd153)",6688
13381,"(papain,cc10)",6689
13382,"(calcitriol,cd11b)",6690
13383,"(rosiglitazone,il-1ra)",6691
13387,"(artesunate,survivin)",6692
13388,"(clonidine,adra2c)",6693
13389,"(arsenite,rbm4)",6694
13390,"(dexamethasone,indo)",6695
13391,"(triiodothyronine,calcitonin)",6696
13393,"(ceftibuten,pept2)",6697
13394,"(ceftibuten,pept1)",6698
13396,"(montelukast,il-13)",6699
13397,"(montelukast,il-10)",6700
13398,"(sorafenib,vegfr1)",6701
13399,"(bleomycin,mmp-9)",6702
13400,"(cyclosporine,g-csf)",6703
13402,"(mifepristone,p2x4)",6704
13403,"(olanzapine,cort)",6705
13405,"(dexamethasone,endothelin-1)",6706
13406,"(triiodothyronine,vegf)",6707
13407,"(leflunomide,il-17)",6708
13408,"(staurosporine,pkc-beta)",6709
13409,"(darunavir,cyp3a4)",6710
13410,"(curcumin,vegf-a)",6711
13411,"(amlodipine,bfgf)",6712
13413,"(gemfibrozil,pgl2)",6713
13414,"(doxorubicin,g-csf)",6714
13417,"(plerixafor,filgrastim)",6715
13418,"(genistein,mrp2)",6716
13420,"(piroxicam,proteoglycanase)",6717
13421,"(losartan,cyp3a)",6718
13422,"(pge2,timp-1)",6719
13425,"(melatonin,alpha-msh)",6720
13427,"(oltipraz,pi3-kinase)",6721
13428,"(ketoconazole,aromatase)",6722
13431,"(erythromycin,herg)",6723
13434,"(n-acetylcysteine,madcam-1)",6724
13435,"(rosiglitazone,elovl3)",6725
13436,"(secretin,gastrin)",6726
13465,"(dexamethasone,cyp1a1)",6727
13466,"(ezetimibe,alk-smase)",6728
13467,"(fenofibrate,bdh1)",6729
13468,"(ebselen,nrf2)",6730
13470,"(staurosporine,transin)",6731
13471,"(naringenin,apob)",6732
13474,"(auranofin,nf-kappab)",6733
